text,label
Мұндайларды халықты жинап дарға асса да болады немесе терісін тірідей сыпырса,агрессивті
Молодец тек алга,позитивті 
Нагыз Казактын алып батыры!!! Мактанышымыз Аман болыныз!!!,позитивті 
Еліміздің мақтанышы!,позитивті 
Жеке басым маған Анна ұнайды керемет жүргізеді.,позитивті 
Қытайды Жерден жоқ қылу керек.,агрессивті
Несіне жылайды дауысы жок екені раско уялмай кайта неге шыға береді мазақ болып.,агрессивті
Уйде тып тыныш отырса оларды ешким кулдыкка сатпайды. Енбек етпей женил акша табуга баргандар гой,агрессивті
"өлгенің жақсы, мал",агрессивті
Өте әсерлі,позитивті 
Көп жаса ,позитивті 
Әумин балалар періште ғой әумин жеңіске жет .,позитивті 
Әдемі  ,позитивті 
Өте жарасымды жұп,позитивті 
өте жақсы актриса өнерін өте жақсы құрметтейміз.Талантты өнерімен .,позитивті 
"өте сауатты, мықты адам",позитивті 
Каптаға жалмауыз Қытайлар .Кырлып жер жұтып кетпейди екен.,агрессивті
"Қойш 10 қабат маска киіп сөілеп отыр да. Сені трактормен таптап кетсе де оның құқы бар, ұйып отырған отбасының берекесін бұзып, әке мен бала арасында, ерлі зацыптылар арасында іріткі салып, күнәсіз періште бола қалуын. Жылай салам деп қояды, қой кейпіндегі қасқырсың ғой. Өтірік жылыап бақытты болмайсың. Дым да ұятың жоқ.",агрессивті
оңбаған қолы сынсын,агрессивті
Көргенсіз.Осы апалы-сіңілді шешінбеген нелерің қалды. Ұятсыздар.,агрессивті
Шешең амы болды десей. Біздің доллыр соғарлардың қолынан ішіп тышқан ғана келді,агрессивті
Бізгеде жұғысты болсын ,позитивті 
Керемет нар тұлға,позитивті 
Бақытты бол,позитивті 
Алғысымды білдіремін,позитивті 
"Әкесінен айналайын , жүрегі жұмсақ Адам екен ! Жақсы азаматтарды тәрбиелепті !",позитивті 
Жындықана күтіп тұр сендерді естерің ауып крышаларың кетіп қалғанба,агрессивті
Мурны баба яганын мурны сиякты,агрессивті
Осындай керемет тарихи тұлғалар жайлы мақала көптеп шықса жақсы болар еді,позитивті 
өте сауатты жақсы,позитивті 
Алкаштар кобейп кеттигой аракты неге мулдем куртпайды екен семьяларды айырылыс уру бала шагасын айелдерин адам олтиру зорлау мас куйнде адам кагу бари осы арактын кесиринен болып жатыр емеспа аракты неменеге шыгарады арактын козин курту керек,агрессивті
Ақын сымақ қашан депутат боласын екіжузді саиқал,агрессивті
"Жарайсыз! Қандай патриотсыз, көп адамдар тудың дұрыс ілінбей тұрғанын байқамаған да шығар. Алла разы болсын, осындай азаматтарымыз көп болсын!",позитивті 
Арсыздар,агрессивті
тәп-тәтті,позитивті 
суканын карны тойганда кол жумсайтын болса,агрессивті
Масқара уят ай позор шошқалар,агрессивті
өмірлікке қамалсын малғұн,агрессивті
Қолы сынғыр.,агрессивті
Бауы берік болсын,позитивті 
"Бұл жерде сөзсіз орган саудасымен байланыс бар.бул жауыздың артында акшалылар бар болуы мүмкін, күманды!",агрессивті
"Көрікті, қылықты ару",позитивті 
"Жап-жас, сұлу әрі талдырмаш мүсінді",позитивті 
Біздің әртістердің бәрі ұятсыз ғой негізі ақша үшін бәріне барады Аллахтан қорықпайды,агрессивті
Мақтауға тұрарлық,позитивті 
"Маскара , сумдык, корлап олтиру керек бул маньяктин озин, адамдарга кауыптыгой.",агрессивті
"Еріксіз көзіме жас келді..... Нағыз азаматтар, ата ананың батасын алып көзінің тірісінде қуантып, тебірентіп. Өркендерін өссін, тапкан еңбектерін берекелі болсын! Бар болыңдар! Аман болыңдар! Бай қуатты болыңдар! Тамаша! Еліміздің осындай азаматтарын үлгі, мақтан тұтамыз! ",позитивті 
Өлсін айуан,агрессивті
"Қашан жезөкшелердің көттері құрттап, шіріп өледі екен. Жезөкшелер мен соларға барған еркектер гана құрттап өлсе мейліғой. Үйінде отырған әйелдеріне де жұқтырадыда. Сосын дүниеге келетін балаларына жұгып, оларда ауру болады. Алладан тілейтінім, сол жезөкшелерге барған еркектердің бәрінің 2і дүниеде көттері құрттап, іріп, шіріп, азаптанып өлсін.",агрессивті
Мысыктар кутырды шшс,агрессивті
Басталды көттері ашылып,агрессивті
Қандай керемет!,позитивті 
Ондай әкімнің аузын айрып тастау керек. Бұрыннан бері неге үндемей жүрген,агрессивті
